valid_time,year,month,precip_3mo_raw,spi3_raw,precip_3mo_corrected,spi3_corrected
2040-03-01,2040,3,47.50051160895386,-1.4173040548788824,114.63768370577618,-0.2545828159492257
2040-04-01,2040,4,14.86113867861116,-3.740007740610978,21.795206695537,-3.251044652040525
2040-05-01,2040,5,8.454828687303989,-4.753424308822899,6.191241855850423,-4.753424308822899
2040-06-01,2040,6,18.514183436307796,-2.619282556034102,8.268068470086448,-3.6187526919101503
2040-07-01,2040,7,20.560694974387474,-0.4586491167211991,4.6579104817833255,-1.5541367425103034
2040-08-01,2040,8,19.2184799589226,0.8182561019033405,4.08541772717291,-0.4883771575900794
2040-09-01,2040,9,16.762261334416195,-0.5084591324318162,25.52770302500811,-0.09471249857256267
2040-10-01,2040,10,11.74073452180794,-2.5780192254715195,32.3086584827389,-1.4798044992760246
2040-11-01,2040,11,62.79646697260386,-1.4776041536448485,109.01013390849263,-0.5834417486327622
2040-12-01,2040,12,126.48598781238533,-0.707533062756881,264.54753604191944,0.6629444132855036
2041-01-01,2041,1,128.25234703999456,-0.29511218119571275,270.0243522168233,0.7489603900283273
2041-02-01,2041,2,141.65082449474812,-0.0383073814083901,335.78913712313306,1.1851374257765084
2041-03-01,2041,3,230.58819910089042,0.9250306537714169,362.23046980376876,1.8568490030793119
2041-04-01,2041,4,250.57644262142347,1.3573715439311205,372.22036067836905,2.5121156196889958
2041-05-01,2041,5,206.88559980910463,1.1591643591258824,250.0415372184597,1.7228412083950324
2041-06-01,2041,6,78.18776114301085,-0.23205193648231184,48.76167193211721,-1.1253004112989249
2041-07-01,2041,7,60.24900628187811,0.6725129848873949,26.211667653404874,-0.23527489021592474
2041-08-01,2041,8,44.798608151997044,1.8885662596436217,8.74673342760839,0.07607573779012135
2041-09-01,2041,9,17.109432877795847,-0.48945927610169065,17.959517325527358,-0.44406979459186585
2041-10-01,2041,10,50.819416589001264,-0.8880388913153174,125.4996602434148,0.5646074458935522
2041-11-01,2041,11,64.48864834378026,-1.4376894562390992,151.4072930506705,0.02542994144219947
2041-12-01,2041,12,73.28638072466163,-1.538222681779067,169.71426799055018,-0.20046398134271257
2042-01-01,2042,1,161.3678566228106,0.00026867871703197075,291.59262584532746,0.8725148090198974
2042-02-01,2042,2,203.18671621716024,0.42950424674490634,394.9548123083605,1.4601061552830306
2042-03-01,2042,3,295.90691471005886,1.420383186623869,509.8751978917862,2.6759995320889574
2042-04-01,2042,4,173.1090083480698,0.41738835924158607,283.9968316757182,1.7046326989181253
2042-05-01,2042,5,194.64833454080565,0.9857163982771958,248.92648764734045,1.7090950597748344
2042-06-01,2042,6,96.76331923121445,0.21722537465632002,102.4314599347634,0.34268266924810914
2042-07-01,2042,7,91.16956403013765,1.2302613660200605,97.90489564076098,1.3350778475285932
2042-08-01,2042,8,8.888234481512784,0.08938531227292255,0.8888234481513064,-1.3416452676124608
2042-09-01,2042,9,0.8559996359565206,-2.4870418070775666,0.6375208815652491,-2.63033697548598
2042-10-01,2042,10,12.303842675461105,-2.5326633713880224,33.55013107194457,-1.4333117683026395
2042-11-01,2042,11,28.320074076915247,-2.5519058331717117,56.04374532177401,-1.6451037376357072
2042-12-01,2042,12,64.59926527974862,-1.7128006701353806,147.3340727846595,-0.4502012738093195
2043-01-01,2043,1,55.80646955438179,-1.2112793222446456,123.03289796010897,-0.3463186970011857
